,Arts & Entertainment,Biography & Memoir,Children’s Books,Cooking,Fantasy,Graphic Novels & Manga,History,Literary Fiction,Mystery & Suspense,Popular Science,Religion & Philosophy,Romance,Science Fiction,Self-Improvement,Teen & Young Adult
Arts & Entertainment,0.8,0.04,0.03,0.0,0.0,0.01,0.04,0.01,0.0,0.02,0.01,0.0,0.01,0.01,0.01
Biography & Memoir,0.03,0.68,0.02,0.0,0.01,0.0,0.08,0.05,0.02,0.02,0.02,0.01,0.0,0.04,0.02
Children’s Books,0.03,0.01,0.72,0.0,0.01,0.05,0.01,0.01,0.02,0.03,0.01,0.02,0.02,0.02,0.06
Cooking,0.01,0.01,0.01,0.97,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fantasy,0.0,0.0,0.05,0.0,0.75,0.02,0.0,0.01,0.03,0.0,0.0,0.05,0.04,0.0,0.04
Graphic Novels & Manga,0.02,0.0,0.02,0.0,0.07,0.68,0.01,0.02,0.04,0.0,0.0,0.01,0.05,0.0,0.07
History,0.02,0.07,0.02,0.0,0.0,0.01,0.75,0.0,0.03,0.03,0.03,0.0,0.01,0.02,0.02
Literary Fiction,0.0,0.06,0.03,0.0,0.02,0.01,0.01,0.73,0.03,0.0,0.0,0.01,0.01,0.0,0.08
Mystery & Suspense,0.0,0.02,0.0,0.0,0.01,0.02,0.01,0.03,0.84,0.0,0.0,0.03,0.01,0.0,0.02
Popular Science,0.05,0.01,0.01,0.01,0.0,0.0,0.02,0.01,0.0,0.8,0.05,0.0,0.01,0.02,0.0
Religion & Philosophy,0.01,0.02,0.01,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.81,0.0,0.0,0.06,0.0
Romance,0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.03,0.04,0.0,0.0,0.84,0.0,0.0,0.03
Science Fiction,0.0,0.0,0.02,0.0,0.06,0.04,0.0,0.03,0.02,0.01,0.01,0.0,0.77,0.0,0.04
Self-Improvement,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.87,0.0
Teen & Young Adult,0.01,0.01,0.08,0.0,0.06,0.07,0.02,0.08,0.06,0.0,0.01,0.03,0.03,0.01,0.54
